id,file_name,source_path,jurisdiction,authority,title,relevant_law,gdpr_articles,type,outcome,started,decided,published,fine,fine_amount,fine_currency,parties,national_case_number_name,european_case_law_identifier,original_languages,original_source,sector_type,sector_type_confidence,sector_core_activity,sector_core_activity_confidence,sector_size,sector_size_confidence
RO_48,MT_ANSPDCP_Romania_-_Fina_against_NN_Pensii_Societate_de_Administrare_a_unui_Fond_de_Pensii_Administrat_Privat_S.A._and_NN_Asigurări_de_Viață_S.A..md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_ANSPDCP_Romania_-_Fina_against_NN_Pensii_Societate_de_Administrare_a_unui_Fond_de_Pensii_Administrat_Privat_S.A._and_NN_Asigurări_de_Viață_S.A..md,Romania,ANSPDCP (Romania),ANSPDCP (Romania) - Fina against NN Pensii Societate de Administrare a unui Fond de Pensii Administrat Privat S.A. and NN Asigurări de Viață S.A.,Article 32(1)(b) GDPRArticle 32(1)(d) GDPRArticle 32(2) GDPR,32,Investigation,Violation Found,,,12/05/2023,"2,500 EUR",2500,EUR,NN Asigurări de Viață S.A.NN Pensii Societate de Administrare a unui Fond de Pensii Administrat Privat S.A.,Fina against NN Pensii Societate de Administrare a unui Fond de Pensii Administrat Privat S.A. and NN Asigurări de Viață S.A.,n/a,Romanian,ANSPDCP (in RO),,,,,,
RO_49,MT_ANSPDCP_Romania_-_Fine_against_Agricola_International_SA.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_ANSPDCP_Romania_-_Fine_against_Agricola_International_SA.md,Romania,ANSPDCP (Romania),ANSPDCP (Romania) - Fine against Agricola International SA,Article 32(1)(b) GDPRArticle 32(1)(d) GDPRArticle 32(2) GDPR,32,Investigation,Violation Found,,,23/07/2025,"25,226.50 EUR",25226,EUR,Agricola International SA,Fine against Agricola International SA,n/a,Romanian,ANSPDCP (in RO),,,,,,
RO_50,MT_ANSPDCP_Romania_-_Fine_against_Altex_Romania_S.A..md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_ANSPDCP_Romania_-_Fine_against_Altex_Romania_S.A..md,Romania,ANSPDCP (Romania),ANSPDCP (Romania) - Fine against Altex Romania S.A.,Article 32(1)(b) GDPRArticle 32(2) GDPR,32,Investigation,Violation Found,,,18/11/2024,"20,000 EUR",20000,EUR,n/a,Altex Romania,n/a,Romanian,Romanian DPA (in RO),,,,,,
RO_51,MT_ANSPDCP_Romania_-_Fine_against_Asociația_de_Proprietari_Aviației_Park.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_ANSPDCP_Romania_-_Fine_against_Asociația_de_Proprietari_Aviației_Park.md,Romania,ANSPDCP (Romania),ANSPDCP (Romania) - Fine against Asociația de Proprietari Aviației Park,Article 5(1)(a) GDPRArticle 5(1)(c) GDPRArticle 5(1)(e) GDPRArticle 5(2) GDPRArticle 6 GDPR,"5,6",Investigation,Violation Found,,27/05/2022,20/06/2022,7000 EUR,7000,EUR,n/a,Fine against Asociația de Proprietari Aviației Park,n/a,Romanian,ANSPDCP (in RO),,,,,,
RO_52,MT_ANSPDCP_Romania_-_Fine_against_Automobile_Bavaria_SRL.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_ANSPDCP_Romania_-_Fine_against_Automobile_Bavaria_SRL.md,Romania,ANSPDCP (Romania),ANSPDCP (Romania) - Fine against Automobile Bavaria SRL,Article 25 GDPRArticle 32 GDPRArticle 58 GDPR,"25,32,58",Investigation,Violation Found,,,,n/a,,,Automobile Bavaria SRL,Fine against Automobile Bavaria SRL,n/a,Romanian,ANSPDCP (in RO),,,,,,
RO_53,MT_ANSPDCP_Romania_-_Fine_against_BEST_ELAN_ONLINE_SRL.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_ANSPDCP_Romania_-_Fine_against_BEST_ELAN_ONLINE_SRL.md,Romania,ANSPDCP (Romania),ANSPDCP (Romania) - Fine against BEST ELAN ONLINE SRL,Article 58(1)(a) GDPR,,Complaint,Upheld,,,06/08/2024,"4,977.10 RON",4977,RON,BEST ELAN ONLINE SRL,Fine against BEST ELAN ONLINE SRL,n/a,Romanian,ANSPDCP (in RO),,,,,,
RO_54,MT_ANSPDCP_Romania_-_Fine_against_Banca_Comercială_Română_S.A..md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_ANSPDCP_Romania_-_Fine_against_Banca_Comercială_Română_S.A..md,Romania,ANSPDCP (Romania),ANSPDCP (Romania) - Fine against Banca Comercială Română S.A.,Article 5(1)(a) GDPRArticle 5(1)(d) GDPRArticle 5(2) GDPRArticle 6 GDPR,"5,6",Investigation,Violation Found,,,19/05/2021,2000 EUR,2000,EUR,Banca Comercială Română S.A.,Fine against Banca Comercială Română S.A.,n/a,Romanian,ANSPDCP (in RO),,,,,,
RO_55,MT_ANSPDCP_Romania_-_Fine_against_Banca_Transilvania_SA.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_ANSPDCP_Romania_-_Fine_against_Banca_Transilvania_SA.md,Romania,ANSPDCP (Romania),ANSPDCP (Romania) - Fine against Banca Transilvania SA,Article 5(1)(f) GDPRArticle 32(1) GDPRArticle 32(2) GDPRArticle 29 GDPR,"29,32",Investigation,Violation Found,,,17/12/2020,100.0000 EUR,100,EUR,Banca Transilvania SA,ANSPDCP - Fine to Banca Transilvania SA,n/a,Romanian,ANSPDCP (in RO),,,,,,
RO_56,MT_ANSPDCP_Romania_-_Fine_against_Bitfactor_SRL.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_ANSPDCP_Romania_-_Fine_against_Bitfactor_SRL.md,Romania,ANSPDCP (Romania),ANSPDCP (Romania) - Fine against Bitfactor SRL,Article 25(1) GDPRArticle 32(1)(b) GDPRArticle 32(1)(d) GDPRArticle 32(2) GDPR,"25,32",Investigation,Violation Found,,,22/09/2022,2000 EUR,2000,EUR,Bitfactor SRL,Fine against Bitfactor SRL,n/a,Romanian,ANSPDCP (in RO),,,,,,
RO_57,MT_ANSPDCP_Romania_-_Fine_against_Blackcab_Systems_SRL.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_ANSPDCP_Romania_-_Fine_against_Blackcab_Systems_SRL.md,Romania,ANSPDCP (Romania),ANSPDCP (Romania) - Fine against Blackcab Systems SRL,Article 12(3) GDPRArticle 15(1) GDPRArticle 15(3) GDPR,"12,15",Complaint,Upheld,,,04/11/2024,"4,975.90 RON",4975,RON,Blackcab Systems SRL,Fine against Blackcab Systems SRL,n/a,Romanian,ANSPDCP (in RO),,,,,,
RO_58,MT_ANSPDCP_Romania_-_Fine_against_CDI_Transport.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_ANSPDCP_Romania_-_Fine_against_CDI_Transport.md,Romania,ANSPDCP (Romania),ANSPDCP (Romania) - Fine against CDI Transport,Article 12(1) GDPRArticle 58(1)(a) GDPRArticle 58(1)(e) GDPR,12,Investigation,Violation Found,,,09/08/2022,7000 EUR,7000,EUR,CDI Transport Intern și Internațional SRL,Fine against CDI Transport,n/a,Romanian,ANSPDCP (in RO),,,,,,
RO_59,MT_ANSPDCP_Romania_-_Fine_against_Concordia_Capital_IFN_S.A..md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_ANSPDCP_Romania_-_Fine_against_Concordia_Capital_IFN_S.A..md,Romania,ANSPDCP (Romania),ANSPDCP (Romania) - Fine against Concordia Capital IFN S.A.,Article 5(1)(a) GDPRArticle 5(1)(b) GDPRArticle 5(1)(c) GDPRArticle 5(2) GDPRArticle 6 GDPRArticle 5 Law no. 190/2018,"5,6",Investigation,Violation Found,,,04/05/2022,4000 EUR,4000,EUR,Concordia Capital IFN S.A.,Fine against Concordia Capital IFN S.A.,n/a,Romanian,ANSPDCP (in RO),,,,,,
RO_60,MT_ANSPDCP_Romania_-_Fine_against_Condor_SA.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_ANSPDCP_Romania_-_Fine_against_Condor_SA.md,Romania,ANSPDCP (Romania),ANSPDCP (Romania) - Fine against Condor SA,Article 32(1) GDPRArticle 32(2) GDPRArticle 32(4) GDPR,32,Investigation,Violation Found,,,28/03/2022,2000 EUR,2000,EUR,Condor SA,Fine against Condor SA,n/a,Romanian,ANSPDCP (in RO),,,,,,
RO_61,MT_ANSPDCP_Romania_-_Fine_against_Constanța_South_Container_Terminal_SRL.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_ANSPDCP_Romania_-_Fine_against_Constanța_South_Container_Terminal_SRL.md,Romania,ANSPDCP (Romania),ANSPDCP (Romania) - Fine against Constanța South Container Terminal SRL,Article 32(1) GDPRArticle 32(2) GDPRArticle 33 GDPR,"32,33",Investigation,Violation Found,,,17/09/2024,"14,929.50 RON",14929,RON,Constanța South Container Terminal SRL,Fine against Constanța South Container Terminal SRL,n/a,Romanian,ANSPDCP (in RO),,,,,,
RO_62,MT_ANSPDCP_Romania_-_Fine_against_Corint_Logistic_SRL.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_ANSPDCP_Romania_-_Fine_against_Corint_Logistic_SRL.md,Romania,ANSPDCP (Romania),ANSPDCP (Romania) - Fine against Corint Logistic SRL,Article 5(1)(b) GDPRArticle 5(1)(a) GDPRArticle 6(1) GDPRArticle 12 GDPRArticle 15(1) GDPRArticle 17 GDPRArticle 21(3) GDPR,"6,12,15,17,21",Investigation,Violation Found,,,30/05/2024,2000 EUR,2000,EUR,Corint Logistic SRL,Fine against Corint Logistic SRL,n/a,Romanian,ANSPDCP (in RO),,,,,,
RO_63,MT_ANSPDCP_Romania_-_Fine_against_Curtea_Veche_Publishing_SRL.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_ANSPDCP_Romania_-_Fine_against_Curtea_Veche_Publishing_SRL.md,Romania,ANSPDCP (Romania),ANSPDCP (Romania) - Fine against Curtea Veche Publishing SRL,Article 32(1)(b) GDPRArticle 32(1)(c) GDPRArticle 32(2) GDPR,32,Investigation,Violation Found,,,21/09/2022,5000 EUR,5000,EUR,Curtea Veche Publishing SRL,Fine against Curtea Veche Publishing SRL,n/a,Romanian,ANSPDCP (in RO),,,,,,
RO_64,MT_ANSPDCP_Romania_-_Fine_against_Dante_International_SA_eMAG_-_no_3.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_ANSPDCP_Romania_-_Fine_against_Dante_International_SA_eMAG_-_no_3.md,Romania,ANSPDCP (Romania),ANSPDCP (Romania) - Fine against Dante International SA (eMAG) - no 3,Article 6(1)(a) GDPRArticle 12(2) GDPRArticle 13(1)(e) GDPRArticle 13(1)(f) GDPRArticle 13(1)(c) GDPRArticle 14(1)(c) GDPRArticle 14(1)(e) GDPRArticle 14(1)(f) GDPRArticle 17(1) GDPR,"12,17",Investigation,Violation Found,,,20/06/2023,40000 EUR,40000,EUR,"Dante International SA, also known as Emag",Fine against Dante International SA (eMAG) - no 3,n/a,Romanian,ANSPDCP (in RO),,,,,,
RO_65,MT_ANSPDCP_Romania_-_Fine_against_Denmar_Nacrut_SRL.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_ANSPDCP_Romania_-_Fine_against_Denmar_Nacrut_SRL.md,Romania,ANSPDCP (Romania),ANSPDCP (Romania) - Fine against Denmar Nacrut SRL,Article 5(1)(b) GDPRArticle 5(1)(c) GDPRArticle 5(1)(a) GDPRArticle 5(2) GDPRArticle 6 GDPRArticle 12 GDPRArticle 13 GDPR,"5,6,12,13",Investigation,Violation Found,,,,2500 EUR,2500,EUR,Denmar Nacrut SRL,Fine against Denmar Nacrut SRL,n/a,Romanian,ANSPDCP (in RO),,,,,,
RO_66,MT_ANSPDCP_Romania_-_Fine_against_E_Software_Concept_SRL.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_ANSPDCP_Romania_-_Fine_against_E_Software_Concept_SRL.md,Romania,ANSPDCP (Romania),ANSPDCP (Romania) - Fine against E Software Concept SRL,Article 32(1)(b) GDPRArticle 32(2) GDPRArticle 58(1)(a) GDPRArticle 58(1)(e) GDPR,32,Investigation,Violation Found,,,07/07/2022,4000 EUR,4000,EUR,E Software Concept SRL,Fine against E Software Concept SRL,n/a,Romanian,ANSPDCP (in RO),,,,,,
RO_67,MT_ANSPDCP_Romania_-_Fine_against_Enel_Energie_Muntenia.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_ANSPDCP_Romania_-_Fine_against_Enel_Energie_Muntenia.md,Romania,ANSPDCP (Romania),ANSPDCP (Romania) - Fine against Enel Energie Muntenia,Article 32 GDPR,32,Complaint,Upheld,,,18/06/2020,4000 EUR,4000,EUR,Enel Energie Muntenia SA,Fine against Enel Energie Muntenia,n/a,Romanian,ANSPDCP (in RO),,,,,,
RO_68,MT_ANSPDCP_Romania_-_Fine_against_Enel_Energie_Muntenia_SA.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_ANSPDCP_Romania_-_Fine_against_Enel_Energie_Muntenia_SA.md,Romania,ANSPDCP (Romania),ANSPDCP (Romania) - Fine against Enel Energie Muntenia SA,Article 32 GDPRArticle 33 GDPR,"32,33",Complaint,Upheld,,,25/08/2022,"10,000",10000,,Enel Energie Muntensia SA,Fine against Enel Energie Muntenia SA,n/a,Romanian,ANSPDCP (in RO),,,,,,
RO_69,MT_ANSPDCP_Romania_-_Fine_against_Estee_Lauder_Romania.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_ANSPDCP_Romania_-_Fine_against_Estee_Lauder_Romania.md,Romania,ANSPDCP (Romania),ANSPDCP (Romania) - Fine against Estee Lauder Romania,Article 6 GDPRArticle 7 GDPRArticle 9 GDPR,"6,7,9",Complaint,Upheld,,,15/06/2020,3000 EUR,3000,EUR,Estee Lauder Romania SRL,Fine against Estee Lauder Romania,n/a,Romanian,ANSPDCP (in RO),,,,,,
RO_70,MT_ANSPDCP_Romania_-_Fine_against_Fundația_Pro_Economica_Pro_Economica_Alapítvány.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_ANSPDCP_Romania_-_Fine_against_Fundația_Pro_Economica_Pro_Economica_Alapítvány.md,Romania,ANSPDCP (Romania),ANSPDCP (Romania) - Fine against Fundația Pro Economica – Pro Economica Alapítvány,Article 32(1) GDPRArticle 32(2) GDPR,32,Investigation,Violation Found,,,10/09/2024,"4,976.70 RON",4976,RON,Fundația Pro Economica – Pro Economica Alapítvány,Fine against Fundația Pro Economica – Pro Economica Alapítvány,n/a,Romanian,ANSPDCP (in RO),,,,,,
RO_71,MT_ANSPDCP_Romania_-_Fine_against_Global_Portss_Services_S.R.L..md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_ANSPDCP_Romania_-_Fine_against_Global_Portss_Services_S.R.L..md,Romania,ANSPDCP (Romania),ANSPDCP (Romania) - Fine against Global Ports’s Services S.R.L.,Article 5(1)(c) GDPRArticle 5(1)(e) GDPRArticle 5(1)(a) GDPRArticle 5(2) GDPRArticle 6(1) GDPRArticle 12 GDPRArticle 14 GDPRArt. 5(1)(e) Lege nr. 190/2018,"5,6,12,14",Complaint,Upheld,,,02/10/2024,"9,947.60 RON",9947,RON,Global Ports’s Services S.R.L.,Fine against Global Ports’s Services S.R.L.,n/a,Romanian,ANSPDCP (in RO),,,,,,
RO_72,MT_ANSPDCP_Romania_-_Fine_against_Glove_Technology_SRL.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_ANSPDCP_Romania_-_Fine_against_Glove_Technology_SRL.md,Romania,ANSPDCP (Romania),ANSPDCP (Romania) - Fine against Glove Technology SRL,Article 5(1)(a) GDPRArticle 6(1) GDPRArticle 58(1)(a) GDPR,6,Investigation,Violation Found,,23/09/2021,21/10/2021,"24,745 RON",24745,RON,Glove Technology SRL,Fine against Glove Technology SRL,n/a,Romanian,ANSPDCP (in RO),,,,,,
RO_73,MT_ANSPDCP_Romania_-_Fine_against_IAMSAT_Muntenia_SA.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_ANSPDCP_Romania_-_Fine_against_IAMSAT_Muntenia_SA.md,Romania,ANSPDCP (Romania),ANSPDCP (Romania) - Fine against IAMSAT Muntenia SA,Article 12 GDPRArticle 12(3) GDPRArticle 13 GDPRArticle 21 GDPR,"12,13,21",Investigation,Violation Found,,,22/02/2022,3000 EUR,3000,EUR,IAMSAT Muntenia SA,Fine against IAMSAT Muntenia SA,n/a,Romanian,ANSPDCP (in RO),,,,,,
RO_74,MT_ANSPDCP_Romania_-_Fine_against_IA_BILET_SRL.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_ANSPDCP_Romania_-_Fine_against_IA_BILET_SRL.md,Romania,ANSPDCP (Romania),ANSPDCP (Romania) - Fine against IA BILET SRL,Article 6(1)(a) GDPRArticle 7(1) GDPRArticle 12(1) GDPRArticle 21(2) GDPRArticle 21(3) GDPR,"7,12,21",Complaint,Upheld,,,25/10/2024,"9,951.40 RON",9951,RON,IA BILET SRL,Fine against IA BILET SRL,n/a,Romanian,ANSPDCP (in RO),,,,,,
RO_75,MT_ANSPDCP_Romania_-_Fine_against_IKEA_ROMÂNIA_SA.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_ANSPDCP_Romania_-_Fine_against_IKEA_ROMÂNIA_SA.md,Romania,ANSPDCP (Romania),ANSPDCP (Romania) - Fine against IKEA ROMÂNIA SA,Article 32(1)(b) GDPRArticle 32(2) GDPR,32,Investigation,Violation Found,,14/10/2021,01/11/2021,1000 EUR,1000,EUR,IKEA ROMÂNIA SA,Fine against IKEA ROMÂNIA SA,n/a,Romanian,ANSPDCP (in RO),,,,,,
RO_76,MT_ANSPDCP_Romania_-_Fine_against_IKEA_Romania_S.R.L..md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_ANSPDCP_Romania_-_Fine_against_IKEA_Romania_S.R.L..md,Romania,ANSPDCP (Romania),ANSPDCP (Romania) - Fine against IKEA Romania S.R.L.,Article 12(1) GDPRArticle 12(3) GDPRArticle 17 GDPR,"12,17",Complaint,Upheld,,,18/04/2022,1000 EUR,1000,EUR,n/a,Fine against IKEA Romania S.R.L.,n/a,Romanian,ANSPDCP (in RO),,,,,,
RO_77,MT_ANSPDCP_Romania_-_Fine_against_Kaufland_Romania_SCS.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_ANSPDCP_Romania_-_Fine_against_Kaufland_Romania_SCS.md,Romania,ANSPDCP (Romania),ANSPDCP (Romania) - Fine against Kaufland Romania SCS,Article 15(3) GDPR,15,Investigation,Violation Found,,,20/01/2022,3000 EUR,3000,EUR,Kaufland Romania SCS,Fine against Kaufland Romania SCS,n/a,Romanian,ANSPDCP (in RO),,,,,,
RO_78,MT_ANSPDCP_Romania_-_Fine_against_Kaufland_România.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_ANSPDCP_Romania_-_Fine_against_Kaufland_România.md,Romania,ANSPDCP (Romania),ANSPDCP (Romania) - Fine against Kaufland România,Article 15(3) GDPR,15,Investigation,Violation Found,,,25/03/2022,2000 EUR,2000,EUR,Kaufland România,Fine against Kaufland România,n/a,Romanian,ANSPDCP (in RO),,,,,,
RO_79,MT_ANSPDCP_Romania_-_Fine_against_LORIS_FUEL_SHOP_SRL.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_ANSPDCP_Romania_-_Fine_against_LORIS_FUEL_SHOP_SRL.md,Romania,ANSPDCP (Romania),ANSPDCP (Romania) - Fine against LORIS FUEL SHOP SRL,Article 29 GDPRArticle 32(4) GDPRArticle 58(2)(d) GDPR,"29,32",Investigation,Violation Found,,,12/05/2022,1000 EUR,1000,EUR,LORIS FUEL SHOP SRL,Fine against LORIS FUEL SHOP SRL,n/a,Romanian,ANSPDCP (in RO),,,,,,
RO_80,MT_ANSPDCP_Romania_-_Fine_against_La_Santrade_S.R.L..md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_ANSPDCP_Romania_-_Fine_against_La_Santrade_S.R.L..md,Romania,ANSPDCP (Romania),ANSPDCP (Romania) - Fine against La Santrade S.R.L.,Article 12(2) GDPRArticle 12(3) GDPRArticle 17 GDPRArticle 83(5)(e) GDPRArticle 83(5)(b) GDPR,"12,17",Investigation,Violation Found,,,16/06/2021,"9.839,4 RON",9,RON,La Santrade S.R.L.,Fine against La Santrade S.R.L.,n/a,Romanian,ANSPDCP (in RO),,,,,,
RO_81,MT_ANSPDCP_Romania_-_Fine_against_Libra_Internet_Bank_SA.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_ANSPDCP_Romania_-_Fine_against_Libra_Internet_Bank_SA.md,Romania,ANSPDCP (Romania),ANSPDCP (Romania) - Fine against Libra Internet Bank SA,Article 12(2) GDPRArticle 12(4) GDPRArticle 15(1) GDPRArticle 15(3) GDPRArticle 15(4) GDPR,"12,15",Investigation,Violation Found,,,11/05/2023,11.000 EUR,11,EUR,Libra Internet Bank SA,Fine against Libra Internet Bank SA,n/a,Romanian,ANSPDCP (in RO),,,,,,
RO_82,MT_ANSPDCP_Romania_-_Fine_against_Lugera_Makler_Broker_S.R.L..md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_ANSPDCP_Romania_-_Fine_against_Lugera_Makler_Broker_S.R.L..md,Romania,ANSPDCP (Romania),ANSPDCP (Romania) - Fine against Lugera & Makler Broker S.R.L.,Article 29 GDPRArticle 32(2) GDPRArticle 32(4) GDPR,"29,32",Investigation,Violation Found,,,19/04/2021,1500 EUR,1500,EUR,Lugera & Makler Broker S.R.L.Raiffeisen Bank SA,Fine against Lugera & Makler Broker S.R.L.,n/a,Romanian,ANSPDCP (in RO),,,,,,
RO_83,MT_ANSPDCP_Romania_-_Fine_against_Megareduceri_TV_S.R.L.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_ANSPDCP_Romania_-_Fine_against_Megareduceri_TV_S.R.L.md,Romania,ANSPDCP (Romania),ANSPDCP (Romania) - Fine against Megareduceri TV S.R.L,Article 58(1) GDPRArticle 83(5)(e) GDPR,58,Investigation,Violation Found,,,03/05/2022,4000 EUR,4000,EUR,Megareduceri TV S.R.L,Fine against Megareduceri TV S.R.L,n/a,Romanian,ANSPDCP (in RO),,,,,,
RO_84,MT_ANSPDCP_Romania_-_Fine_against_Owners_Association_from_Str._Soporului_17_Cluj-Napoca_Municipality.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_ANSPDCP_Romania_-_Fine_against_Owners_Association_from_Str._Soporului_17_Cluj-Napoca_Municipality.md,Romania,ANSPDCP (Romania),"ANSPDCP (Romania) - Fine against Owners Association from Str. Soporului 17, Cluj-Napoca Municipality",Article 58(1)(a) GDPRArticle 58(1)(e) GDPRArticle 83(5)(e) GDPR,,Investigation,Violation Found,,22/03/2022,07/04/2022,500 EUR,500,EUR,"Asociația de Proprietari din Str. Soporului 17, municipiul Cluj-Napoca","Fine against Owners Association from Str. Soporului 17, Cluj-Napoca Municipality",n/a,Romanian,ANSPDCP (in RO),,,,,,
RO_85,MT_ANSPDCP_Romania_-_Fine_against_PPC_Energie_Muntenia_S.A..md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_ANSPDCP_Romania_-_Fine_against_PPC_Energie_Muntenia_S.A..md,Romania,ANSPDCP (Romania),ANSPDCP (Romania) - Fine against PPC Energie Muntenia S.A.,Article 12(3) GDPRArticle 17 GDPR,"12,17",Complaint,Upheld,,,23/09/2024,"9,947.60 RON",9947,RON,PPC Energie Muntenia S.A.,Fine against PPC Energie Muntenia S.A.,n/a,Romanian,ANSPDCP (in RO),,,,,,
RO_86,MT_ANSPDCP_Romania_-_Fine_against_Profi_Rom_Food_Srl.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_ANSPDCP_Romania_-_Fine_against_Profi_Rom_Food_Srl.md,Romania,ANSPDCP (Romania),ANSPDCP (Romania) - Fine against Profi Rom Food Srl,Article 5(1)(a) GDPRArticle 6(1) GDPRArticle 32 GDPR,"6,32",Investigation,Violation Found,,,23/10/2024,"49,744 RON",49744,RON,Profi Rom Food Srl,Fine against Profi Rom Food Srl,n/a,Romanian,ANSPDCP (in RO),,,,,,
RO_87,MT_ANSPDCP_Romania_-_Fine_against_Proleasing_Motors_SRL.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_ANSPDCP_Romania_-_Fine_against_Proleasing_Motors_SRL.md,Romania,ANSPDCP (Romania),ANSPDCP (Romania) - Fine against Proleasing Motors SRL,Article 32(1) GDPRArticle 32(2) GDPRArticle 58(2)(d) GDPR,32,Investigation,Violation Found,,,09/07/2020,15000 EUR,15000,EUR,Proleasing Motors SRL,Fine against Proleasing Motors SRL,n/a,Romanian,ANSPDCP (in RO),,,,,,
RO_88,MT_ANSPDCP_Romania_-_Fine_against_Raiffeisen_Bank.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_ANSPDCP_Romania_-_Fine_against_Raiffeisen_Bank.md,Romania,ANSPDCP (Romania),ANSPDCP (Romania) - Fine against Raiffeisen Bank,Article 32(1)(b) GDPRArticle 32(1)(d) GDPRArticle 32(4) GDPR,32,Investigation,Violation Found,,20/10/2024,,"99,466 RON",99466,RON,Raiffeisen Bank S.A,Fine against Raiffeisen Bank,n/a,Romanian,Autoritatea Naţională de Supraveghere a Prelucrării Datelor cu Caracter Personal (in RO),,,,,,
RO_89,MT_ANSPDCP_Romania_-_Fine_against_Rețele_Electrice_Muntenia_SA_and_Rețele_Electrice_Dobrogea_SA.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_ANSPDCP_Romania_-_Fine_against_Rețele_Electrice_Muntenia_SA_and_Rețele_Electrice_Dobrogea_SA.md,Romania,ANSPDCP (Romania),ANSPDCP (Romania) - Fine against Rețele Electrice Muntenia SA and Rețele Electrice Dobrogea SA,Article 32(1) GDPRArticle 32(2) GDPR,32,Complaint,Upheld,,,25/06/2024,"19,904 RON",19904,RON,Rețele Electrice Muntenia SARețele Electrice Dobrogea SA,Fine against Rețele Electrice Muntenia SA and Rețele Electrice Dobrogea SA,n/a,Romanian,ANSPDCP (in RO),,,,,,
RO_90,MT_ANSPDCP_Romania_-_Fine_against_S.C._Delivery_Solutions_S.A._Sameday.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_ANSPDCP_Romania_-_Fine_against_S.C._Delivery_Solutions_S.A._Sameday.md,Romania,ANSPDCP (Romania),ANSPDCP (Romania) - Fine against S.C. Delivery Solutions S.A. (Sameday),Article 29 GDPRArticle 32(1)(b) GDPRArticle 32(2) GDPR,"29,32",Investigation,Violation Found,,,11/07/2022,3000 EUR,3000,EUR,S.C. Delivery Solutions S.A.,Fine against S.C. Delivery Solutions S.A. (Sameday),n/a,Romanian,ANSPDCP (in RO),,,,,,
